transaction_id,customer_id,merchant_id,amount,transaction_time,Day,is_fraudulent,card_type,Category Risk,Risk,location,purchase_category,purchase risk,customer_age,Age group,transaction_description,score
6678,1028,2093,9999.75,1/1/2023 1:51,1,1,Visa,Suspicious,89,City-23,Groceries,high,27,21-30,Purchase at Merchant-2093,Low Risk
7469,1085,2006,9998.21,1/1/2023 2:04,1,0,Discover,Suspicious,120,City-9,Gas Station,Low,31,31-40,Purchase at Merchant-2006,Low Risk
3223,1028,2088,9997.59,1/1/2023 0:53,1,1,American Express,Suspicious,89,City-8,Groceries,high,37,31-40,Purchase at Merchant-2088,Low Risk
6953,1016,2036,9995.03,1/1/2023 1:55,1,1,Discover,Suspicious,93,City-36,Travel,high,63,50+,Purchase at Merchant-2036,Low Risk
2057,1086,2092,9994.44,1/1/2023 0:34,1,1,Discover,Suspicious,92,City-25,Online Shopping,high,38,31-40,Purchase at Merchant-2092,Low Risk
5351,1086,2004,9994.02,1/1/2023 1:29,1,0,MasterCard,Suspicious,92,City-40,Restaurant,Low,22,21-30,Purchase at Merchant-2004,Low Risk
1470,1035,2069,9992.81,1/1/2023 0:24,1,0,American Express,Suspicious,92,City-26,Gas Station,Low,51,50+,Purchase at Merchant-2069,Low Risk
9900,1013,2047,9992.53,1/1/2023 2:44,1,1,Visa,Suspicious,99,City-1,Restaurant,high,33,31-40,Purchase at Merchant-2047,Low Risk
6833,1040,2020,9991.74,1/1/2023 1:53,1,0,American Express,Suspicious,92,City-24,Online Shopping,Low,38,31-40,Purchase at Merchant-2020,Low Risk
3398,1083,2035,9990.49,1/1/2023 0:56,1,1,MasterCard,Suspicious,111,City-48,Gas Station,high,61,50+,Purchase at Merchant-2035,High Risk
9974,1060,2042,9987.57,1/1/2023 2:46,0:00,1,Discover,Suspicious,89,City-33,Travel,high,62,50+,Purchase at Merchant-2042,Low Risk
1935,1075,2097,9987.42,1/1/2023 0:32,1,1,MasterCard,Suspicious,91,City-22,Retail,high,56,50+,Purchase at Merchant-2097,Low Risk
3473,1085,2080,9987.12,1/1/2023 0:57,1,0,MasterCard,Suspicious,120,City-28,Travel,Low,49,40-50,Purchase at Merchant-2080,Low Risk
1054,1049,2067,9986.46,1/1/2023 0:17,1,1,Visa,Suspicious,111,City-5,Online Shopping,high,26,21-30,Purchase at Merchant-2067,High Risk
3597,1015,2025,9986.41,1/1/2023 0:59,1,1,American Express,Suspicious,103,City-25,Travel,high,25,21-30,Purchase at Merchant-2025,High Risk
9403,1063,2064,9984.35,1/1/2023 2:36,1,0,American Express,Suspicious,111,City-28,Groceries,Low,19,0-20,Purchase at Merchant-2064,Low Risk
1467,1047,2003,9984.05,1/1/2023 0:24,1,0,Visa,Suspicious,102,City-17,Travel,Low,59,50+,Purchase at Merchant-2003,Low Risk
9992,1096,2024,9983.42,1/1/2023 2:46,0:00,0,MasterCard,Suspicious,98,City-50,Retail,Low,33,31-40,Purchase at Merchant-2024,Low Risk
8081,1072,2065,9983.22,1/1/2023 2:14,1,0,MasterCard,Suspicious,103,City-42,Retail,Low,63,50+,Purchase at Merchant-2065,Low Risk
8703,1011,2082,9982.93,1/1/2023 2:25,1,1,MasterCard,Suspicious,100,City-35,Online Shopping,high,18,0-20,Purchase at Merchant-2082,Low Risk
1227,1012,2019,9982.27,1/1/2023 0:20,1,1,Discover,Suspicious,114,City-42,Gas Station,high,61,50+,Purchase at Merchant-2019,High Risk
4243,1035,2033,9982.13,1/1/2023 1:10,1,1,Visa,Suspicious,92,City-34,Groceries,high,41,40-50,Purchase at Merchant-2033,Low Risk
8137,1012,2053,9980.8,1/1/2023 2:15,1,1,MasterCard,Suspicious,114,City-9,Restaurant,high,37,31-40,Purchase at Merchant-2053,High Risk
1373,1049,2087,9978.87,1/1/2023 0:22,1,1,Visa,Suspicious,111,City-29,Travel,high,46,40-50,Purchase at Merchant-2087,High Risk
6624,1079,2038,9978.73,1/1/2023 1:50,1,1,MasterCard,Suspicious,115,City-40,Gas Station,high,63,50+,Purchase at Merchant-2038,High Risk
6412,1079,2028,9978.33,1/1/2023 1:46,1,0,Visa,Suspicious,115,City-27,Travel,Low,44,40-50,Purchase at Merchant-2028,Low Risk
1148,1074,2012,9978.01,1/1/2023 0:19,1,0,MasterCard,Suspicious,126,City-42,Retail,Low,54,50+,Purchase at Merchant-2012,Low Risk
7334,1074,2037,9977.94,1/1/2023 2:02,1,1,Visa,Suspicious,126,City-27,Gas Station,high,68,50+,Purchase at Merchant-2037,High Risk
5181,1024,2035,9977.09,1/1/2023 1:26,1,1,American Express,Suspicious,89,City-20,Travel,high,46,40-50,Purchase at Merchant-2035,Low Risk
2727,1068,2085,9975.96,1/1/2023 0:45,1,0,Discover,Suspicious,96,City-1,Travel,Low,46,40-50,Purchase at Merchant-2085,Low Risk
9696,1067,2070,9972.82,1/1/2023 2:41,1,1,Discover,Suspicious,98,City-12,Groceries,high,39,31-40,Purchase at Merchant-2070,Low Risk
8841,1001,2086,9972.59,1/1/2023 2:27,1,1,MasterCard,Suspicious,86,City-36,Gas Station,high,36,31-40,Purchase at Merchant-2086,Low Risk
5809,1028,2024,9972.44,1/1/2023 1:36,1,1,Discover,Suspicious,89,City-46,Groceries,high,52,50+,Purchase at Merchant-2024,Low Risk
1796,1011,2009,9972.2,1/1/2023 0:29,1,1,Visa,Suspicious,100,City-29,Groceries,high,31,31-40,Purchase at Merchant-2009,Low Risk
7211,1041,2055,9970.35,1/1/2023 2:00,1,0,American Express,Suspicious,107,City-9,Groceries,Low,45,40-50,Purchase at Merchant-2055,Low Risk
2115,1025,2093,9969.36,1/1/2023 0:35,1,1,Visa,Suspicious,91,City-37,Retail,high,62,50+,Purchase at Merchant-2093,Low Risk
7321,1020,2064,9968.87,1/1/2023 2:02,1,0,Visa,Suspicious,107,City-44,Retail,Low,36,31-40,Purchase at Merchant-2064,Low Risk
1304,1013,2055,9967.93,1/1/2023 0:21,1,1,MasterCard,Suspicious,99,City-4,Travel,high,47,40-50,Purchase at Merchant-2055,Low Risk
4221,1018,2071,9967.85,1/1/2023 1:10,1,1,MasterCard,Suspicious,116,City-49,Retail,high,47,40-50,Purchase at Merchant-2071,High Risk
6273,1061,2067,9967.72,1/1/2023 1:44,1,1,American Express,Suspicious,115,City-35,Gas Station,high,36,31-40,Purchase at Merchant-2067,High Risk
9914,1056,2035,9964.17,1/1/2023 2:45,0:00,1,Visa,Suspicious,88,City-18,Travel,high,54,50+,Purchase at Merchant-2035,Low Risk
9939,1068,2093,9963.62,1/1/2023 2:45,0:00,0,American Express,Suspicious,96,City-19,Groceries,Low,29,21-30,Purchase at Merchant-2093,Low Risk
1183,1012,2097,9963.19,1/1/2023 0:19,1,1,American Express,Suspicious,114,City-40,Groceries,high,48,40-50,Purchase at Merchant-2097,High Risk
7975,1009,2094,9962.38,1/1/2023 2:12,1,1,MasterCard,Suspicious,99,City-25,Groceries,high,27,21-30,Purchase at Merchant-2094,Low Risk
4336,1001,2008,9961.2,1/1/2023 1:12,1,0,MasterCard,Suspicious,86,City-23,Gas Station,Low,33,31-40,Purchase at Merchant-2008,Low Risk
2479,1017,2063,9959.19,1/1/2023 0:41,1,0,American Express,Suspicious,100,City-5,Restaurant,Low,30,21-30,Purchase at Merchant-2063,Low Risk
4034,1012,2068,9957.08,1/1/2023 1:07,1,0,American Express,Suspicious,114,City-39,Groceries,Low,55,50+,Purchase at Merchant-2068,Low Risk
4485,1074,2014,9954.34,1/1/2023 1:14,1,1,Discover,Suspicious,126,City-2,Restaurant,high,22,21-30,Purchase at Merchant-2014,High Risk
2210,1077,2014,9953.68,1/1/2023 0:36,1,0,MasterCard,Suspicious,100,City-21,Travel,Low,67,50+,Purchase at Merchant-2014,Low Risk
7931,1001,2068,9952.01,1/1/2023 2:12,1,1,Discover,Suspicious,86,City-39,Gas Station,high,43,40-50,Purchase at Merchant-2068,Low Risk
3972,1059,2031,9950.12,1/1/2023 1:06,1,0,Discover,Suspicious,118,City-46,Online Shopping,Low,34,31-40,Purchase at Merchant-2031,Low Risk
2441,1066,2062,9949.34,1/1/2023 0:40,1,0,Visa,Suspicious,84,City-14,Groceries,Low,24,21-30,Purchase at Merchant-2062,Low Risk
